iyi geçti mi	iyi geçmek ?
onun kendi yatak odası vardır	onun kendi yatak_odası var
bir ailem var	benim bir aile var
kim incitmek isterdi	kim üzmek istemek ?
ben öğle yemeği istemiyorum	ben öğle yemek istemek değil
dışarı gitmek istediğimde o asla hazır değildir	ben dışarı gitmek istemek o asla hazır değil
araçla çalışmaya gittim	ben araba ile çalışmak gitmek
hemen dön	sen hemen dönmek
sahip olduğum en iyi mücevheri sattım	ben benim sahip olmak en iyi mücevher satmak
o burada kaldı	o burada kalmak
ben spor salonuna başlıyorum	ben spor salon başlamak
ben onu kız kardeşiyle karıştırdım	ben o onun kız kardeş ile karıştırmak
olumlu taraftan bakalım	biz olumlu taraf bakmak
aradığın anahtar bu mu	senin aramak anahtar bu ?
seni arayamadım	ben sen aramak değil
herkes onlardan hoşlanır	herkes onlar hoşlanmak
o çocuklara piyano dersleri vermektedir	o çocuk onlar piyano ders vermek
onlar bekliyor olacaklar	onlar beklemek olmak
hiç çocukların var mı	senin hiç çocuk x2 var ?
çok uzun süredir hastayım	ben çok uzun süre hasta
devam eden çok şey vardı	devam_etmek birçok şey var
o izledi	o izlemek
o ingilizce öğretmeni	o ingilizce öğretmen
yerde yatan bir şey var	yer orada yatmak bir_şey var
onun babası nerede	onun baba nerede ?
bunu tekrar yapacağım	ben bu tekrar yapmak
o annesinin onayını istiyor	o onun anne onay istemek
benim iyi bir haberim var	benim iyi bir haber var
sınıf arkadaşları onunla dalga geçtiler	onun sınıf arkadaş onun ile dalga_geçmek
arabanın yeni bir motoru var	o araba yeni bir motor var
üniversitede tarih eğitimi görüyor	o üniversite tarih eğitim görmek
o bu kamerayı iyi bir fiyata aldı	o bu kamera iyi bir fiyat almak
okula yaya giderim	ben okul yaya gitmek
bir kalabalık olay yerinde toplandı	bir kalabalık olay yer oraya toplanmak
biz neyi yanlış aldık	biz ne yanlış almak ?
siz öğrenci misiniz	siz öğrenci ?
zaman kazanmaya çalışıyordu	o zaman kazanmak çalışmak
ben başarılı olmak istiyorum ama başarılı olamıyorum	ben başarılı olmak istemek ama başarılı olmak değil
ben geldiğimde akşam yemeği yiyordu	ben gelmek o akşam yemek yemek
o ihtiyacım olan şey	o benim ihtiyaç olmak şey
o yardım edemez fakat kıskanç olur	o yardım_etmek değil fakat kıskanç olmak
yakında yaşıyor	o yakında yaşamak
o çok iyi mi	o çok iyi ?
üç haftadır hastayım	ben üç hafta hasta
o tatilde	o tatil orada
akşam yemeği yaptım	ben akşam yemek yapmak
yavaş yavaş çalış	sen yavaş yavaş çalışmak
kanıt buldu	o kanıt bulmak
hiç kimse umursamadı	hiç_kimse umursamamak
bugün denize giremedim çünkü deniz çok pisti	ben bugün deniz girmek değil çünkü deniz çok pis
sigara içmeye ne zaman başladın	sen sigara_içmek ne_zaman başlamak ?
o güzel değil miydi	o güzel değil ?
siz bugün çok çalıştınız ve yoruldunuz	siz bugün çok çalışmak ve yorulmak
doktora ihtiyacım yok	benim doktor ihtiyaç yok
unutmadım	ben unutmak değil
hiç kimse kötü haberi sevmez	hiç_kimse kötü haber sevmek değil
o şimdi bir film seyrediyor	o şimdi bir film seyretmek
takvim duvarda asılı duruyor	takvim
doktorları sevmem	ben doktor onlar sevmek değil
kahve fincanını yeniden doldurdu	o kahve fincan yeniden doldurmak
herkes onu yapıyordu	herkes o yapmak
ne tarafa gittiler	onlar ne taraf gitmek ?
birçok insan bunu yapar	birçok insan bu yapmak
onlar bize yardım ederler	onlar biz yardım_etmek
sana yüzmeyi kim öğretti	sana yüzmek kim öğretmek ?
babamı seviyorum	ben benim baba sevmek
yumurta sevmez	o yumurta sevmek değil
her sabah erken kalkıyorum	ben her sabah erken kalkmak
bu gece içmiyorum	ben bu gece içmek değil
televizyonda ne var	televizyon ne var ?
bütün bu insanlarla tanıştınız mı	siz bütün bu insan onlar ile tanışmak ?
gözlerim yanıyor	benim göz yanmak
polisi aradım	ben polis aramak
biz bunu almadık	biz bu almak değil
o memnun olmuş gibi duruyordu	o memnun_olmak gibi durmak
bence buna ihtiyacımız var	bence biz bu ihtiyaç var
dışarı çıkalım mı	biz dışarı çıkmak ?
onlar beni gördüler	onlar ben görmek
hepimiz konserden zevk aldık	hepimiz konser zevk_almak
arkadaşın burada	senin arkadaş burada
ne yaptığımı düşünüyorsun	sen benim ne yapmak düşünmek ?
bu imkansız değil	bu imkansız değil
bir tane alacağım	ben bir tane almak
okuyarak çok zaman harcarım	ben okumak çok zaman harcamak
sana yazmayı öğretebilirim	ben sana yazmak öğretmek
bizim arkadaş şarkı söylemek için ayağa kalktı	bizim arkadaş şarkı söylemek için ayak kalkmak
o buz hokey oynuyor	o buz_hokeyi oynamak
onun erkek arkadaşının adını biliyor musun	sen onun erkek arkadaş ad bilmek ?
nerede bir doktor var	nerede bir doktor var ?
o az önce odasını temizlemeyi bitirdi	o az önce onun oda temizlemek bitirmek
sizi durduracağım	ben siz durdurmak
onu henüz buldum	ben henüz bulmak o
o yaramaz bir çocuktur	o yaramaz bir çocuk
bu benim sorunum	bu benim sorun
arkadaşı avrupanın kalabalık bir şehrinde oturuyordu	onun arkadaş avrupa kalabalık şehir orada oturmak
o çalışıyor mu	o çalışmak ?
hiç kimse kaçmadı	hiç_kimse kaçmak değil
çalışıyor olacağım	ben çalışmak olmak
ışığı neden kapattın	sen ışık neden kapatmak ?
akşam yemeğin soğuyor bir dakika geliyorum	senin akşam yemek soğuk ben bir dakika gelmek
o onun elini tuttu	o onun el tutmak
onun cep telefonunun çaldığını duydum	ben onun cep_telefon çalmak duymak
çayın fiyatı ne kadar	çay fiyat ne_kadar ?
onun için yalan söyledim	ben onun için yalan söylemek
bir doktora ihtiyacı var	onun bir doktor ihtiyaç var
ben yardım edemem ama anlaşırım	ben yardım_etmek değil ama anlaşmak
bugün burada benimle olmasını isterdim	ben istemek o bugün benim ile burada olmak
size yazmayı öğretebilirim	ben siz yazmak öğretmek
o senin erkek kardeşine benziyor	o senin erkek kardeş benzemek
o hiç aramadı	o hiç aramak değil
yapılması gereken şeyi yaptılar	onlar yapmak gerek şey yapmak
odamda kalmam söylendi	ben benim oda orada kalmak onlar söylemek
onun evi nerede	onun ev nerede ?
bir çocukken burada oynardım	ben önce çocuk olmak ben burada oynamak
çok uzun zamandır dolandırıcıdan haber almadık	biz çok uzun zaman dolandırıcı haber_almak değil
bunu tamir edebilir misiniz	siz bu tamir_etmek ?
yatmadan önce yemek yememeniz daha iyi	siz yatmak önce yemek yemek değil daha iyi
onu biliyorum	ben o bilmek
onlar seninle konuşmak istiyorlar	onlar senin ile konuşmak istemek
onun bir çocuğu vardı galiba	onun bir çocuk var galiba
ben yedide evden ayrıldım	ben saat yedi ev orada ayrılmak
o sokakta yatan bir sarhoşu fark etti	o sokak orada yatmak bir sarhoş fark_etmek
ne kadar sıcak	ne kadar sıcak
bu çoğu ülkede yasaklanmıştır	bu çok ülke yasak
dayımın oğlu için aldığım adres yanlış	benim dayı onun oğul için almak adres yanlış
onu onlara ver	sen o onlar vermek değil
o uzun süredir bekliyor mu	o uzun süre beklemek ?
ben sigara içmeyi bir yıl önce bıraktım	ben sigara_içmek bir yıl önce bırakmak
arkadaşım için içimde kötü bir duygu var	benim arkadaş için benim iç kötü bir duygu var
bu onun evi	bu onun ev
polise nasıl giderim	ben polis nasıl gitmek ?
ona bakıyorum	ben ona bakmak
bu rapor için sana teşekkürler	bu rapor için sana teşekkür
film yapmayı seviyorum	ben film yapmak sevmek
sınav zordu	sınav zor
birisinin konuşmasını duyuyorum	ben biri konuşmak duymak
herkes spor sever	herkes spor sevmek
doğru olmadığını söyle	sen bu doğru olmak değil söylemek
o bana ilham verdi	o bana ilham vermek
bütün gece yağmur yağdı	bütün gece yağmur yağmak
o buraya geldi	o bura gelmek
yıllar geçti	yıl geçmek
haziranda çok sayıda yağmurlu günlerimiz var	bizim haziran çok yağmur gün var
şimdi yalan söylemekten pişman oluyorum	ben şimdi yalan_söylemek pişman olmak
ben normal hissetmedim	ben normal hissetmek değil
odamı temizlemeyi bitirdim	ben benim oda temizlemek bitirmek
o şiddet filmlerini izlemekten hoşlanmaz	o şiddet film izlemek hoşlanmak değil
bunu telefonla yapabilirsin	sen bu telefon ile yapmak
bir kitap okumak istiyorum	ben bir kitap okumak istemek
hangi yıldayız	biz hangi yıl ?
bunu seviyorum	ben bu sevmek
bizi takip edeni görmüyor musun	sen biz takip_etmek görmek değil ?
hangi ayakkabıları seviyorsun	sen hangi ayakkabı sevmek
bu çok yavaş	bu çok yavaş
resim yapmayı sevmiyorum	ben resim_yapmak sevmek değil
bu senin	bu senin
daha sonra ödeyebilir miyim	ben daha sonra ödemek ?
hayvanları çok seversiniz	siz hayvan onlar çok sevmek
nefesini duydum	ben onun nefes duymak
o adamın bir doktor olduğundan emin misin	sen o adam onun bir doktor emin_olmak ?
orada çok sık yağmur yağar mı	orada çok sürekli yağmur yağmak ?
annemin aşçılığını özlüyorum	ben benim anne aşçı özlemek
erkek kardeşime benzediğimi düşünüyor musun	sen benim erkek kardeş benim benzemek düşünmek ?
o dolabının anahtarını arıyordu	o dolap anahtar aramak
annemi kör bir adama yardım ederken gördüm	ben benim anne kör bir adam yardım_etmek görmek
endişelenmeyi bırak ve biraz uyu	sen endişelenmek bırakmak ve biraz uyumak
onun geniş bir yatak odası var	onun geniş bir yatak_odası var
niçin oturmuyoruz	biz niçin oturmak değil ?
ben hızlı sürerim	ben hızlı sürmek
o onun için	o onun için
nasıl da lezzetli	tat iyi
ben ingilizce öğretmeni değilim	ben ingilizce öğretmen değil
yazmaya devam et	sen yazmak devam_etmek
odama biri girmiş	benim oda biri girmek
elinde küçük bir şemsiye tutuyordu	o onun el küçük bir şemsiye tutmak
okula gitmeyeceğim	ben okul gitmek değil
bunun nasıl çalıştığını sana gösterebilirim	ben bu nasıl çalışmak sana göstermek
bana birkaç saat ver	sen bana birkaç saat vermek
odamı temizlemek zorundayım	ben benim oda temizlemek lazım
en iyi yaptığım budur	benim en iyi yapmak bu
onun şimdiye kadar beni unutmuş olacağını düşündüm	ben onun şimdi kadar ben unutmak olmak düşünmek
o yazı çöp	o yazı çöp
arkadaşlarımla dışarı çıktım	ben benim arkadaş onlar ile dışarı çıkmak
onun ailesi şok olmuştu	onun aile şok olmak
sana vurdu mu	o sana vurmak ?
telefonu kapatmayın lütfen	siz telefon kapatmak değil lütfen
o bir arkadaşını ziyaret etti	o bir arkadaş ziyaret_etmek
sen bir tadına bakmak ister misin	sen bir tat bakmak istemek ?
o annesinin kucağında oturuyordu	o onun anne kucak oturmak
onun dans etmesini izlemeyi seviyorum	ben onun dans izlemek sevmek
o çok yalan söyler	o çok yalan söylemek
umudumu kaybettim	ben benim umut kaybetmek
sen çok başarılısın	sen çok başarılı olmak
onu tekrar yapacağım	ben o tekrar yapmak
benimle ilgilenmek istediğini söyledin	sen benim ile ilgilenmek söylemek
yaptığım şey benim sorunumdur	benim yapmak şey benim sorun
bu bir süredir orada	bu bir süre orada
sürekli kısa cümleler kurmuyordu	o sürekli kısa cümle kurmak değil
kızıma bir mektup yazıyorum	ben benim kız bir mektup yazmak
şu çiçeğe bakıyorum	ben şu çiçek bakmak
o kötü bir insan değil	o kötü bir insan değil
okula gitti	o okul gitmek
bulduğu cüzdanla ne yapacağını merak ediyordu	o cüzdan bulmak ne yapmak o merak_etmek
onun düştüğünü gördüm	ben onun düşmek görmek
bir hasta bakıcı mıydı	o bir hasta_bakıcı ?
o ilaç çok yardımcı oldu	o ilaç çok yardımcı_olmak
not yazdım	ben not yazmak
spor salonundaydım	ben spor_salonu orada
yakında onu yapmalısın	sen yakında o yapmak
bu kitaplardan hiç beğenmedim	ben bu kitap hiç beğenmek değil
ılık güneşli bir gün piknik için güzeldir	ılık güneş bir_gün piknik için güzel
o sağ elinde bir kalem tutuyordu	o onun sağ el bir kalem tutmak
o iyi yapıyor	o iyi yapmak
herkese günaydın	herkes günaydın
en sevdiğiniz ressam kimdir	sizin en sevmek ressam kim ?
onlar yataktan çıkmak istemiyor	onlar yatak orada çıkmak istemek değil
o bir kitap okuyor mu	o bir kitap okumak ?
televizyon seyretmeyi seviyorum	ben televizyon seyretmek sevmek
ben geri döndüm mü	ben geri dönmek ?
o bana baktı	o bana bakmak
arabasının koltuğu çok pisti	onun araba koltuk çok pis
dedikodu yapmayı kes	sen dedikodu yapmak kesmek
zaman alacak	zaman almak
o nerede üniversiteye gitti	o nerede üniversite gitmek ?
burada tüm yaptığım bu	benim burada tüm yapmak bu
uzun süre oldu	o uzun süre olmak
onun birkaç kitabı var	onun birkaç kitap var
o her zaman televizyon seyrediyor	o her zaman televizyon seyretmek
bu çok fazla	bu çok fazla
biraz ekmek yedi	o biraz ekmek yemek
benim aynı sorunum vardı	benim aynı sorun var
iki aile aynı evde yaşamaktadır	iki aile aynı ev orada yaşamak
sen garipsin	sen garip
dışardayım	ben dışarı orada
ben işe gidiyorum	ben iş gitmek
ben hep buradan alışveriş yaparım	ben hep burada alışveriş yapmak
gidip yedim	ben gitmek yemek
sen elma seversin	sen elma sevmek
üniversite ne zaman başlar	üniversite ne_zaman başlamak ?
etrafta kimse yoktu	etraf kimse yok
ayağa kalk	sen ayak kalkmak
onu aramak için saatler harcadım	ben o aramak için saat harcamak
arkadaşım artık bir adam	benim arkadaş artık bir adam
o bir yastık olmadan uyuyamıyor	o bir yastık olmak değil uyumak değil
onun erkek arkadaşıyla çalışıyorum	ben onun erkek arkadaş ile çalışmak
ben sabah çalışırım	ben sabah çalışmak
uzun süredir onu bekliyorum	ben uzun süre o beklemek
onu demek istiyorum	ben demek istemek o
gitmemizi isterdi	o istemek biz gitmek
gülmemeye çalışıyordu	o gülmek değil çalışmak
brokoli	yeşil kıvırcık
çorba istemiyor musun	sen çorba istemek ?
araba sürebilirim	ben araba sürmek
senin arkadaşın işe yürüyerek gider	senin arkadaş iş yürümek gitmek
beyzbol ve futbol seyretmeyi seviyorum	ben beyzbol ve futbol seyretmek sevmek
hepsi o kadar	hepsi o_kadar
onu dikkatlice izledim	ben o dikkat ile izlemek
musluğu kapattım	ben musluk kapatmak
lütfen köpeğin dışarıda kaldığından emin ol	sen lütfen senin köpek dışarı orada kalmak emin_olmak
ben sigara içmiyorum	ben sigara_içmek değil
onun arkadaşı bir şarkıcıdır	onun arkadaş bir şarkıcı
bir soru sormama izin ver	sen benim bir soru sormak izin_vermek
sanırım raporumu okudun	ben sanmak sen benim rapor okumak
geçen hafta amcamla birlikte kaldım	ben geçen_hafta benim amca ile birlikte kalmak
sigarayı hiç sevmiyorum	ben sigara hiç sevmek değil
bir şey görmüş olmalısın	sen bir_şey görmek olmak
kaçmak istemiyor	o kaçmak istemek değil
biz her yerde araba süreriz	biz her yer araba sürmek
ben daha yakından bakmak istiyorum	ben daha yakın bakmak istemek
yakında ona ihtiyacımız var	benim yakında ona ihtiyaç var
neden soru soruyorsun	sen neden soru sormak ?
o ayrılmak için kalktı	o ayrılmak için kalkmak
onun erkek kardeşi yoktu	onun erkek kardeş yok
akşamları denizde yüzmeyi çok seviyorum	ben akşam deniz orada yüzmek çok sevmek
et yemeyi severim	ben et yemek sevmek
onunla konuşmak istemiyorum	ben onun ile konuşmak istemek değil
saatime baktım	ben benim saat bakmak
o öğle yemeğinden sonra okur	o öğle yemek sonra okumak
ellerime baktım	ben benim el bakmak
kaç defa avrupaya gittin	sen kaç defa avrupa gitmek ?
insanları izlemeyi severim	ben insan izlemek sevmek
kayak yapabilir misin	sen kayak yapmak ?
onların hepsi izledi	onların hepsi izlemek
bir köpeğe sahip olacağım	ben bir köpek sahip olmak
odamı temizlemek zorunda kaldım	ben benim oda temizlemek lazım
ben hangisini istediğimi biliyorum	ben hangi istemek bilmek
bugün kim kazandı	bugün kim kazanmak ?
başka bir yere gidebilirim	ben başka bir yer gitmek ebilmek
o oturmuş kaldı	o oturmak kalmak
onlarla bazen görüşürüz	biz onlar ile bazen görüşmek
senin hikayene inanmak zor	senin hikaye inanmak zor
onlar dans etti	onlar dans
yemeğin ardından hesabı istedim	ben yemek sonra hesap istemek
bu sene yine evinizde sevgililer günü partisi yapıyor musunuz	siz bu sene yine sizin ev sevgililer_günü parti yapmak ?
ders nasıldı	ders nasıl ?
o bir peri masalı gibi okur	o bir peri masal gibi okumak
bana kim yardım edebilir	bana kim yardım_etmek ?
ben onu not ettim	ben o not yazmak
kendimi yalnız hissettim	ben kendim yalnız hissetmek
bizimle oyun oynuyor	o bizim ile oyun oynamak
şarkı söyleyebilir misin	sen şarkı söylemek ?
o para istiyor	o para istemek
bütün ailemin sağlığı iyi	benim bütün aile sağlık iyi
yorgun hissetmiyor	o yorgun hissetmek değil
onlar fiyattan otuz dolar indirim yaptılar	onlar fiyat otuz dolar indirim yapmak
bugün buraya annemle geldim	ben bugün bura benim anne ile gelmek
nasıl kazandık	biz nasıl kazanmak ?
evimizin arkasında küçük bir sebze bahçesi var	bizim ev arka orada küçük bir sebze bahçe var
o arabasını yıkamadı	o araba yıkamak
denizde yüzmek eğlenceli	deniz yüzmek eğlenceli
beni deniz tuttu	ben deniz_tutması
bir çocuğum var	benim bir çocuk var
onlardan biri benimdi	onlar biri benim
biz birkaç gece evinizde kalabilir miyiz	biz birkaç gece sizin ev kalmak ?
gitarım onun arabasının bagajında	benim gitar onun araba bagaj orada
